2026-08-05T17:12:14.564624Z	 1624 Connect	root@localhost on  using Socket
2026-08-05T17:12:14.565593Z	 1624 Quit	
2026-08-05T17:12:14.690796Z	 1625 Connect	whmcs@172.20.0.5 on whmcs using TCP/IP
2026-08-05T17:12:14.691561Z	 1625 Query	use `whmcs`
2026-08-05T17:12:14.692710Z	 1625 Prepare	set names 'utf8' collate 'utf8_unicode_ci'
2026-08-05T17:12:14.692986Z	 1625 Execute	set names 'utf8' collate 'utf8_unicode_ci'
2026-08-05T17:12:14.693452Z	 1625 Close stmt	
2026-08-05T17:12:14.693807Z	 1625 Prepare	set session sql_mode=''
2026-08-05T17:12:14.694095Z	 1625 Execute	set session sql_mode=''
2026-08-05T17:12:14.694498Z	 1625 Close stmt	
2026-08-05T17:12:14.703019Z	 1625 Prepare	select * from `tblconfiguration`
2026-08-05T17:12:14.703415Z	 1625 Execute	select * from `tblconfiguration`
2026-08-05T17:12:14.705140Z	 1625 Close stmt	
2026-08-05T17:12:14.707976Z	 1625 Prepare	select * from `tblconfiguration` where `tblconfiguration`.`setting` = ? limit 1
2026-08-05T17:12:14.708269Z	 1625 Execute	select * from `tblconfiguration` where `tblconfiguration`.`setting` = 'trustedProxyIps' limit 1
2026-08-05T17:12:14.708767Z	 1625 Close stmt	
2026-08-05T17:12:14.719634Z	 1625 Prepare	select `data` from `tbltransientdata` where `name` = ? and `expires` > ? limit 1
2026-08-05T17:12:14.719997Z	 1625 Execute	select `data` from `tbltransientdata` where `name` = 'TemplateCompatCache' and `expires` > 1785949934 limit 1
2026-08-05T17:12:14.720945Z	 1625 Close stmt	
2026-08-05T17:12:14.792485Z	 1625 Prepare	select exists(select * from `tbltransientdata` where `name` = ?) as `exists`
2026-08-05T17:12:14.792863Z	 1625 Execute	select exists(select * from `tbltransientdata` where `name` = 'lastCronMemoryLimit') as `exists`
2026-08-05T17:12:14.793512Z	 1625 Close stmt	
2026-08-05T17:12:14.793948Z	 1625 Prepare	update `tbltransientdata` set `data` = ?, `expires` = ? where `name` = ?
2026-08-05T17:12:14.794270Z	 1625 Execute	update `tbltransientdata` set `data` = '256', `expires` = 1786554734 where `name` = 'lastCronMemoryLimit'
2026-08-05T17:12:14.803058Z	 1625 Close stmt	
2026-08-05T17:12:14.818670Z	 1625 Prepare	select * from `tbltask`
2026-08-05T17:12:14.819043Z	 1625 Execute	select * from `tbltask`
2026-08-05T17:12:14.820293Z	 1625 Close stmt	
2026-08-05T17:12:14.835054Z	 1625 Prepare	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.835435Z	 1625 Execute	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.836327Z	 1625 Close stmt	
2026-08-05T17:12:14.838278Z	 1625 Prepare	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.838608Z	 1625 Execute	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.839174Z	 1625 Close stmt	
2026-08-05T17:12:14.849454Z	 1625 Prepare	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.849811Z	 1625 Execute	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.850378Z	 1625 Close stmt	
2026-08-05T17:12:14.850928Z	 1625 Prepare	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.851241Z	 1625 Execute	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.851643Z	 1625 Close stmt	
2026-08-05T17:12:14.855172Z	 1625 Prepare	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.855454Z	 1625 Execute	select * from `tbldomainpricing` order by `tbldomainpricing`.`order` asc, `tbldomainpricing`.`id` asc
2026-08-05T17:12:14.856014Z	 1625 Close stmt	
